brand,model_year,milage,fuel_type,engine,transmission,price
Ford,2007,"169,613 mi.",Gasoline,210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,"$5,900"
Honda,2011,"175,000 mi.",Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,"$9,000"
BMW,2017,"98,500 mi.",Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$24,500"
Chrysler,2012,"53,000 mi.",Gasoline,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$13,750"
RAM,2015,"72,200 mi.",Diesel,370.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,"$52,500"
Acura,2005,"151,600 mi.",Gasoline,200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$7,899"
Lotus,2011,"20,000 mi.",Gasoline,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$51,000"
Chevrolet,2010,"170,000 mi.",E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,"$9,000"
Ford,2019,"69,800 mi.",E85 Flex Fuel,395.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,10-Speed A/T,"$34,600"
Toyota,2020,"26,300 mi.",Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$46,199"
Honda,2007,"156,111 mi.",Gasoline,109.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$5,200"
Chevrolet,2016,"172,600 mi.",Diesel,397.0HP 6.6L 8 Cylinder Engine Diesel Fuel,A/T,"$32,500"
Honda,2010,"145,000 mi.",Gasoline,271.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,"$9,000"
Ford,2001,"64,309 mi.",Gasoline,260.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,A/T,"$7,500"
RAM,2021,"15,183 mi.",Gasoline,702.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$90,000"
Buick,2020,"28,548 mi.",Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,"$32,063"
Volkswagen,2022,"14,000 mi.",Gasoline,276.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$46,900"
Mercedes-Benz,2019,"67,000 mi.",Hybrid,369.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,"$44,500"
Jeep,2017,"84,786 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,"$23,500"
Mercedes-Benz,2008,"93,000 mi.",Gasoline,518.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,"$17,800"
Hyundai,2010,"127,500 mi.",Gasoline,306.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$6,000"
Ford,2022,"8,000 mi.",,480.0HP Electric Motor Electric Fuel System,1-Speed A/T,"$60,999"
GMC,2022,"16,500 mi.",Gasoline,308.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$32,900"
Jaguar,2013,"55,700 mi.",Gasoline,385.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$27,200"
Ford,2021,"42,245 mi.",Diesel,Intercooled Turbo Diesel V-8 6.7 L/406,Automatic,"$76,598"
Toyota,2009,"78,500 mi.",Gasoline,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,"$12,000"
Ford,2018,"48,619 mi.",Gasoline,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,"$51,499"
Jeep,2021,"51,105 mi.",Hybrid,2.0L I4 16V GDI DOHC Turbo Hybrid,8-Speed Automatic,"$42,700"
Ford,2016,"25,880 mi.",E85 Flex Fuel,282.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,"$25,500"
Tesla,2021,"20,100 mi.",,1020.0HP Electric Motor Electric Fuel System,A/T,"$69,995"
Toyota,2018,"25,083 mi.",Gasoline,3.5L V6 24V PDI DOHC,6-Speed Automatic,"$34,955"
Audi,2002,"69,300 mi.",Gasoline,225.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$9,995"
Toyota,2019,"46,000 mi.",Hybrid,306.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,"$40,000"
Jeep,2008,"141,485 mi.",Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,"$6,500"
Toyota,2018,"63,990 mi.",Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$48,000"
Ford,2020,"19,400 mi.",Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,"$58,000"
Subaru,2013,"129,858 mi.",Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$13,490"
Volvo,2012,"102,000 mi.",Gasoline,240.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$10,800"
Subaru,2010,"8,700 mi.",Gasoline,305.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$39,900"
Chevrolet,2018,"49,279 mi.",,200.0HP Electric Motor Electric Fuel System,1-Speed A/T,"$17,500"
Chevrolet,2004,"148,800 mi.",Gasoline,240.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,"$6,500"
Cadillac,2012,"160,249 mi.",E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,"$12,900"
Chrysler,2004,"45,000 mi.",Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,"$6,000"
Chevrolet,2006,"169,000 mi.",Diesel,360.0HP 6.6L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,"$19,500"
Mercedes-Benz,2017,"46,000 mi.",Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$56,000"
Ferrari,2019,"13,900 mi.",Gasoline,660.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$315,000"
Acura,2015,"38,000 mi.",Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,"$21,900"
Chevrolet,2006,"42,000 mi.",Gasoline,505.0HP 7.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$42,000"
Lexus,2024,300 mi.,Hybrid,240.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,A/T,"$50,999"
Mercedes-Benz,2008,"120,800 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$13,900"
Jeep,2020,"76,313 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,"$35,234"
Chevrolet,2012,"104,000 mi.",E85 Flex Fuel,315.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,"$16,500"
Lexus,2010,"97,097 mi.",Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,"$22,000"
Jeep,2008,"136,731 mi.",Gasoline,202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,"$15,900"
RAM,2017,"40,200 mi.",Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,"$24,000"
Ford,2021,"39,105 mi.",Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,10-Speed Automatic,"$44,605"
Mercedes-Benz,2017,"23,567 mi.",Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$215,000"
BMW,2021,"12,500 mi.",Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$90,000"
Chevrolet,2019,"38,900 mi.",Gasoline,308.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$34,700"
Lincoln,2016,"84,272 mi.",Gasoline,380.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$25,221"
Mercedes-Benz,2016,"58,375 mi.",Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,"$24,999"
Ford,2007,"7,346 mi.",Gasoline,500.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$40,999"
Dodge,2008,"98,231 mi.",Gasoline,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,"$15,500"
Jaguar,2007,"56,000 mi.",Gasoline,300.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,A/T,"$18,000"
Honda,2020,"13,935 mi.",Gasoline,174.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,"$26,000"
Subaru,2019,"30,000 mi.",Gasoline,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,"$21,250"
Saab,2009,"106,000 mi.",Gasoline,280.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$12,950"
BMW,2014,"82,978 mi.",Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$18,700"
Jeep,2018,"58,500 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$35,000"
Ford,2015,"92,421 mi.",Diesel,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,"$51,900"
Mazda,2020,"9,927 mi.",Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,"$27,518"
Jeep,2000,"122,945 mi.",Gasoline,181.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,"$13,900"
Lexus,2006,"110,250 mi.",Gasoline,230.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,"$11,000"
INFINITI,2011,"103,010 mi.",Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$13,500"
Hyundai,2017,"55,359 mi.",Gasoline,1.6L I4 16V GDI DOHC,6-Speed Automatic with Auto-Shift,"$15,599"
Chevrolet,2002,"118,500 mi.",Gasoline,285.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,"$5,900"
Rivian,2022,"7,800 mi.",,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,"$92,500"
Land,2020,"41,500 mi.",Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,"$68,000"
BMW,2020,"28,000 mi.",Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$59,900"
Mercedes-Benz,2014,"53,500 mi.",Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,"$24,500"
Honda,2021,"33,523 mi.",Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,"$28,748"
Toyota,2016,"86,300 mi.",Hybrid,134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,A/T,"$18,000"
Subaru,2022,"7,738 mi.",Gasoline,271.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$33,000"
Bentley,2020,"22,001 mi.",Gasoline,6.0L W12 48V PDI DOHC Twin Turbo,8-Speed Automatic,"$173,995"
Ford,2022,"14,361 mi.",Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,"$51,500"
Chevrolet,2016,"98,000 mi.",E85 Flex Fuel,355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,Transmission Overdrive Switch,"$30,000"
Chevrolet,2022,"30,455 mi.",Gasoline,2.7 Liter DOHC Turbo,Automatic,"$37,698"
Ford,2020,"64,552 mi.",Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,10-Speed Automatic,"$36,750"
Lexus,2017,"103,866 mi.",Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$24,700"
Land,2019,"35,650 mi.",Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$57,999"
Ford,2021,"64,957 mi.",Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,10-Speed Automatic,"$39,979"
Dodge,2012,"33,700 mi.",–,–,6-Speed M/T,"$33,500"
Chevrolet,2012,"96,653 mi.",Gasoline,264.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$7,500"
Dodge,2022,"29,500 mi.",Gasoline,303.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$31,000"
Porsche,2021,"7,400 mi.",Gasoline,379.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$116,999"
Volvo,2012,"69,000 mi.",Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,"$15,900"
Lexus,2005,"198,000 mi.",Gasoline,270.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,"$15,500"
Porsche,2015,"23,600 mi.",Gasoline,430.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed M/T,"$132,900"
Volvo,2008,"170,000 mi.",Gasoline,235.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$7,000"
Nissan,2008,"76,500 mi.",Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$28,000"
Porsche,2007,"73,500 mi.",Gasoline,480.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,5-Speed A/T,"$75,499"
Land,2020,"29,000 mi.",Hybrid,355.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,"$70,000"
Porsche,2017,"69,404 mi.",Plug-In Hybrid,416.0HP 3.0L V6 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,"$29,500"
Lexus,2007,"103,000 mi.",Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$12,900"
Porsche,2015,"70,500 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$26,500"
Land,2016,"64,000 mi.",Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$36,995"
GMC,2018,"63,460 mi.",E85 Flex Fuel,341.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,A/T,"$33,000"
Toyota,2018,"32,199 mi.",Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,"$35,500"
Hyundai,2020,"69,487 mi.",Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,"$32,000"
GMC,2015,"86,000 mi.",Diesel,397.0HP 6.6L 8 Cylinder Engine Diesel Fuel,A/T,"$49,000"
Genesis,2022,"8,730 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,8-Speed Automatic,"$48,219"
Dodge,2002,"70,000 mi.",Gasoline,175.0HP 3.9L V6 Cylinder Engine Gasoline Fuel,A/T,"$8,000"
Chevrolet,2017,"70,000 mi.",Gasoline,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$17,900"
Audi,2015,"83,420 mi.",E85 Flex Fuel,220.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,8-Speed A/T,"$16,000"
Nissan,2003,"189,000 mi.",Gasoline,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,"$2,899"
Porsche,2017,"31,500 mi.",Gasoline,420.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$97,555"
BMW,2015,"85,766 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,"$13,000"
GMC,2018,"92,800 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,"$34,000"
Land,2021,"13,970 mi.",Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,"$75,500"
Porsche,2023,154 mi.,Gasoline,3.8L H6 24V GDI DOHC Twin Turbo,8-Speed Automatic with Auto-Shift,"$274,900"
Toyota,2000,"265,000 mi.",Gasoline,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,"$15,500"
Scion,2011,"95,426 mi.",Gasoline,158.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,"$8,000"
Honda,2001,"119,900 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$18,000"
Mazda,2020,"23,162 mi.",Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,"$25,495"
BMW,2023,"3,950 mi.",Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,"$83,500"
Porsche,2006,"80,000 mi.",Gasoline,355.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$43,000"
Ford,2015,"94,634 mi.",E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,"$32,500"
Chevrolet,2007,"65,000 mi.",Gasoline,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$33,885"
Lexus,2008,"100,000 mi.",Gasoline,380.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,"$11,500"
Toyota,2023,500 mi.,Hybrid,245.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,A/T,"$59,500"
Mercedes-Benz,2021,"7,856 mi.",Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,"$425,000"
Audi,2011,"181,000 mi.",Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,"$5,500"
Mercedes-Benz,2018,"48,700 mi.",Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,"$27,900"
Porsche,2009,"13,500 mi.",Gasoline,480.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$130,000"
Toyota,2017,"87,500 mi.",Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$20,000"
Jaguar,2000,"45,000 mi.",Gasoline,290.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,"$12,500"
Chevrolet,1996,"85,760 mi.",Gasoline,300.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,"$14,500"
Tesla,2018,"36,187 mi.",,271.0HP Electric Motor Electric Fuel System,1-Speed A/T,"$28,895"
Hyundai,2022,"13,666 mi.",Gasoline,2.5L I4 16V PDI DOHC,8-Speed Automatic,"$27,999"
Porsche,2007,"50,500 mi.",Gasoline,355.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$56,000"
Lincoln,2021,"19,291 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,"$44,340"
Ford,2012,"1,295 mi.",Gasoline,444.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,M/T,"$49,990"
Cadillac,2017,"55,000 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$49,900"
MINI,2010,"74,000 mi.",Gasoline,118.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$9,650"
Dodge,2022,"14,976 mi.",Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,"$49,999"
BMW,2018,"25,348 mi.",Gasoline,3.0L I6 24V GDI DOHC Turbo,8-Speed Automatic,"$33,889"
Chevrolet,2010,"23,133 mi.",Gasoline,430.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$35,000"
Jaguar,2018,"34,322 mi.",Diesel,2.0 Liter,Automatic,"$29,998"
Dodge,2021,"39,960 mi.",Gasoline,375.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$28,500"
BMW,2016,"76,400 mi.",Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$31,300"
Ford,2022,"18,533 mi.",Gasoline,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,"$38,978"
GMC,2023,"7,500 mi.",Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,"$92,888"
INFINITI,2022,"26,520 mi.",Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$64,000"
Land,2014,"59,500 mi.",E85 Flex Fuel,340.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability,A/T,"$33,800"
Honda,2020,"44,000 mi.",Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,"$34,999"
Pontiac,2001,"111,000 mi.",Gasoline,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,"$11,000"
Toyota,2016,"82,260 mi.",Gasoline,4.0L V6 24V MPFI DOHC,5-Speed Automatic,"$31,906"
Porsche,2006,"52,744 mi.",Gasoline,325.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$37,500"
BMW,2019,"28,200 mi.",Plug-In Hybrid,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,"$79,950"
Nissan,2000,"194,277 mi.",Gasoline,222.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,"$2,300"
Pontiac,2001,"91,812 mi.",Gasoline,310.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,"$12,850"
Chevrolet,2018,"84,224 mi.",Gasoline,5.3L V8 16V GDI OHV,6-Speed Automatic,"$43,775"
BMW,2018,"66,690 mi.",Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$24,900"
Mercedes-Benz,2018,"41,500 mi.",Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,"$39,848"
BMW,2014,"85,095 mi.",Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$24,900"
Volvo,2015,"39,000 mi.",Gasoline,250.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$17,900"
Tesla,2022,"20,500 mi.",,425.0HP Electric Motor Electric Fuel System,1-Speed A/T,"$46,500"
Ford,2019,"112,000 mi.",Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,"$61,995"
Volkswagen,2023,"1,716 mi.",,Battery Electric,Automatic,"$39,998"
Audi,2016,"90,360 mi.",Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,"$15,499"
Ford,2020,"82,146 mi.",Gasoline,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,"$30,825"
Ford,2020,"16,850 mi.",Gasoline,460.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,"$41,000"
Honda,2003,"101,000 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$28,000"
BMW,2015,"68,750 mi.",Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,"$25,999"
Lamborghini,2018,"5,858 mi.",Gasoline,729.0HP 6.5L 12 Cylinder Engine Gasoline Fuel,7-Speed A/T,"$491,836"
Dodge,2004,"143,000 mi.",Gasoline,335.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,"$3,200"
Nissan,2005,"152,270 mi.",Gasoline,305.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,"$6,900"
Kia,2021,"19,605 mi.",Gasoline,2.5L I4 16V PDI DOHC,8-Speed Automatic,"$33,591"
Chevrolet,2020,"19,200 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,"$69,999"
Chevrolet,2004,"64,500 mi.",Gasoline,180.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,A/T,"$5,900"
Toyota,2011,"149,000 mi.",Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,"$18,995"
McLaren,2018,"5,918 mi.",Gasoline,3.8L V8 32V MPFI DOHC Twin Turbo,7-Speed Automatic with Auto-Shift,"$179,900"
Pontiac,1997,"134,033 mi.",Gasoline,285.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,"$7,200"
Kia,2019,"37,226 mi.",Gasoline,"3.3L V-6 gasoline direct injection, DOHC, D-CVVT variable valve",Automatic,"$34,998"
Ford,2017,"71,924 mi.",Gasoline,179.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,A/T,"$13,700"
Lamborghini,2021,"5,718 mi.",Gasoline,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro",Automatic,"$279,991"
Jeep,2014,"122,200 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,"$21,500"
Land,2020,"37,248 mi.",Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,"$54,500"
Chevrolet,1999,"88,750 mi.",Gasoline,255.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,A/T,"$6,800"
Cadillac,2008,"64,800 mi.",Gasoline,443.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$24,700"
Ford,2014,"112,180 mi.",Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,"$12,599"
RAM,2015,"149,130 mi.",Diesel,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,"$35,000"
Tesla,2020,"88,000 mi.",,425.0HP Electric Motor Electric Fuel System,1-Speed A/T,"$35,500"
Toyota,2018,"74,000 mi.",Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,"$27,950"
Ford,2019,"44,460 mi.",Gasoline,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,"$34,500"
GMC,2015,"96,000 mi.",Gasoline,281.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$17,000"
Porsche,2005,"75,000 mi.",Gasoline,240.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,"$17,500"
Dodge,2014,"95,000 mi.",Gasoline,370.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$17,900"
Land,2016,"49,799 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,"$37,500"
Ford,2006,"27,407 mi.",Gasoline,300.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,5-Speed M/T,"$21,750"
Alfa,2020,"23,339 mi.",Gasoline,2.0L I4 16V GDI SOHC Turbo,8-Speed Automatic,"$34,645"
Tesla,2016,"74,122 mi.",,417.0HP Electric Motor Electric Fuel System,A/T,"$35,900"
Jaguar,1997,"50,000 mi.",Gasoline,290.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,"$6,000"
Mercedes-Benz,2021,"14,745 mi.",Gasoline,2.0 Liter Turbo,Automatic,"$38,998"
Chevrolet,2021,"2,700 mi.",Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,"$85,950"
Buick,2012,"190,000 mi.",Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,"$6,000"
